SampleID,cluster,bodymass,host_scientific_name,digestive_habitat_type,diet,surrounding_habitat,country,host_order,host_kingdom,host_phylum,host_class,host_family,host_genus,country,elevation_m,additional_microbial_habitat_info,lifestage,captive_wild,sampling_month,trophic_diet,preservation_method,extraction_method,biogeo_realm,PD_whole_tree,chao1,shannon,simpson,observed_otus,host_phylogeny_nDMSproxy,FID,latitiude,longitude,Site_ID,Bio1_2_5min,Bio2_2_5min,Bio3_2_5min,Bio4_2_5min,Bio5_2_5min,Bio6_2_5min,Bio7_2_5min,Bio8_2_5min,Bio9_2_5min,Bio10_2_5min,Bio11_2_5min,Bio12_2_5min,Bio13_2_5min,Bio14_2_5min,Bio15_2_5min,Bio16_2_5min,Bio17_2_5min,Bio18_2_5min,Bio19_2_5min,Vegetation_density,terrain_complexity,NDVI_Modis_1_mar.2018,Immune_Complexity_Ordinal,Immune_Complexity_Binary
1734.LD.NBS1053E,1,small,desmodus rotundus,fecal,carnivore,terrestrial,belize,chiroptera,animalia,chordata,mammalia,phyllostomidae,desmodus,belize,36,feces,adult,wild,april,3,direct_freeze,DNeasy Powersoil,neotropic,14.8124,33.14285714,2.297832511,0.694772,28,-0.278,5866,17.746,-88.065,61,26.822,5.016,53.749,143.355,31.266,21.933,9.333,27.211,25.994,28.177,24.916,1609,277,42,48,612,141,471,290,NA,3.2,207,9,Adaptive
1734.LD.NBS1069E,1,small,molossus sinaloae,fecal,carnivore,terrestrial,belize,chiroptera,animalia,chordata,mammalia,molossidae,molossus,belize,36,feces,adult,wild,april,3,direct_freeze,DNeasy Powersoil,neotropic,17.45677,61,3.777940243,0.85581,48,-0.278,5873,17.746,-88.065,61,26.822,5.016,53.749,143.355,31.266,21.933,9.333,27.211,25.994,28.177,24.916,1609,277,42,48,612,141,471,290,NA,3.2,207,9,Adaptive
1734.LD.NBS1084B,1,small,mormoops megalophylla,fecal,carnivore,terrestrial,belize,chiroptera,animalia,chordata,mammalia,mormoopidae,mormoops,belize,36,feces,adult,wild,april,3,direct_freeze,DNeasy Powersoil,neotropic,24.96433,145,5.355253219,0.956436,110,-0.278,5881,17.746,-88.065,61,26.822,5.016,53.749,143.355,31.266,21.933,9.333,27.211,25.994,28.177,24.916,1609,277,42,48,612,141,471,290,NA,3.2,207,9,Adaptive
1734.LD.QCAZ.M50991,1,small,sturnira erythromos,fecal,herbivore,terrestrial,ecuador,chiroptera,animalia,chordata,mammalia,phyllostomidae,sturnira,ecuador,1277,feces,adult,wild,august,1,direct_freeze,DNeasy Powersoil,neotropic,15.32483,47.6,3.436866681,0.83585,42,-0.278,6973,-0.693,-77.818,32,19.81674749,9.009215432,89.210329,31.40558819,24.73045552,14.63149276,10.09896276,19.45498807,19.96309874,20.09860258,19.32217292,3419.9904,396.704576,189.753728,24.54065641,1129.569152,610.868608,687.326912,1022.82912,61,76707.70313,243,9,Adaptive
SRR2121087,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,28.45647,172.6206897,5.816302516,0.967464,140,-0.278,813,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121062,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,22.64425,139.6,4.343801229,0.863876,90,-0.278,788,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121089,1,small,myodes glareolus,forgut,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,26.0812,168.5263158,5.406488242,0.95148,121,-0.278,815,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121157,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,26.50691,218,5.436042994,0.941348,141,-0.278,883,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121103,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,24.99463,149.2352941,4.963774295,0.933608,101,-0.278,829,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121054,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,27.07345,259.1538462,5.053918388,0.935004,123,-0.278,780,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
