Table 2. Small intestine (SI) length and nominal surface area (NSA) of omnivorous birds and eutherian mammals [common names,,,,,,,
were extracted from the Integrated Taxonomic Information System (ITIS; www.itis.gov) and ref. 1],,,,,,,
"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
American robin,Turdus migratorius,Passeriformes,Turdidae,78.4,26.97,33.79,"3, 5, 16, 19"
Fieldfare,Turdus pilaris,Passeriformes,Turdidae,102.7,41.08,,14
Rufous-backed robin,Turdus rufopalliatus,Passeriformes,Turdidae,70.4,,24.23,"C. Martínez del
Rio, personal
communication"
"Yellow-bellied
elaenia",Elaenia flavogaster,Passeriformes,Tyrannidae,23.5,12.5,14.99,16
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,4,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Western flycatcher,Empidonax difficilis,Passeriformes,Tyrannidae,10.9,,4.74,"C. Martínez del
Rio, personal
communication"
"Ochre-bellied
flycatcher","Mionectes oleagineus/
Pipromorpha
oleaginea",Passeriformes,Tyrannidae,10.8,15.3,11.24,16
Great kiskadee,Pitangus sulphuratus,Passeriformes,Tyrannidae,73.3,,21.58,"C. Martínez del
Rio, personal
communication"
,"Terrenotricus
erythrurus",Passeriformes,Tyrannidae,7.5,6.1,4.56,16
Tropical kingbird,"Tyrannus
melancholicus",Passeriformes,Tyrannidae,39.8,19,,16
Yellow-breasted chat,Icteria virens,Passeriformes,Vireonidae,21.9,,10.82,"C. Martínez del
Rio, personal
communication"
Blue-headed vireo,Vireo solitarius,Passeriformes,Vireonidae,17,13.2,11.9,16
Lesser honeyguide,Indicator minor,Piciformes,Indicatoridae,24.7,24.6,,31
,,TERRESTRIAL EUTHERIAN MAMMALS,,,,,
Pig,Sus scrofa,Artiodactyla,Suidae,111850,,10047,"32, 33"
Dog,Canis familiaris,Carnivora,Canidae,9782.5,271,907,32-37
Red fox,Vulpes vulpes,Carnivora,Canidae,6320,210,939.2,"32, 34"
Leopard,Panthera pardus,Carnivora,Felidae,15700,,1580,32
African golden cat,Profelis aurata,Carnivora,Felidae,5230,,404,32
African palm civet,Nandinia binotata,Carnivora,Nandiniidae,2363.3,,370,32
Servaline genet,Genetta servalina,Carnivora,Viverridae,1480,,274,32
African linsang,Poiana richardsoni,Carnivora,Viverridae,510,,184,32
"South American
squirrel monkey",Saimiri sciureus,Primates,Cebidae,675.4,114.88,,38
