"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
"Yellow-bellied
elaenia",elaenia flavogaster,Passeriformes,Tyrannidae,23.5,12.5,14.99,16
,,,,,,,
Caviedes-Vidal et al.,table 2,,,4,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Western flycatcher,empidonax difficilis,Passeriformes,Tyrannidae,10.9,,4.74,"C. Martínez del
Rio, personal
communication"
"Ochre-bellied
flycatcher","mionectes oleagineus/
pipromorpha
oleaginea",Passeriformes,Tyrannidae,10.8,15.3,11.24,16
Great kiskadee,pitangus sulphuratus,Passeriformes,Tyrannidae,73.3,,21.58,"C. Martínez del
Rio, personal
communication"
,"terrenotricus
erythrurus",Passeriformes,Tyrannidae,7.5,6.1,4.56,16
Tropical kingbird,"tyrannus
melancholicus",Passeriformes,Tyrannidae,39.8,19,,16
Yellow-breasted chat,icteria virens,Passeriformes,Vireonidae,21.9,,10.82,"C. Martínez del
Rio, personal
communication"
Blue-headed vireo,vireo solitarius,Passeriformes,Vireonidae,17,13.2,11.9,16
Lesser honeyguide,indicator minor,Piciformes,Indicatoridae,24.7,24.6,,31
,,TERRESTRIAL EUTHERIAN MAMMALS,,,,,
Pig,sus scrofa,Artiodactyla,Suidae,111850,,10047,"32, 33"
Dog,canis familiaris,Carnivora,Canidae,9782.5,271,907,32-37
Red fox,vulpes vulpes,Carnivora,Canidae,6320,210,939.2,"32, 34"
Leopard,panthera pardus,Carnivora,Felidae,15700,,1580,32
African golden cat,profelis aurata,Carnivora,Felidae,5230,,404,32
African palm civet,nandinia binotata,Carnivora,Nandiniidae,2363.3,,370,32
Servaline genet,genetta servalina,Carnivora,Viverridae,1480,,274,32
African linsang,poiana richardsoni,Carnivora,Viverridae,510,,184,32
"South American
squirrel monkey",saimiri sciureus,Primates,Cebidae,675.4,114.88,,38
"Grey-cheeked
mangabey",cercocebus albigena,Primates,Cercopithecidae,3700,,453,32
,,,,,,,
Caviedes-Vidal et al.,table 2,,,5,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Vervet monkey,"cercopithecus
aethiops",Primates,Cercopithecidae,4700,,643.5,39
"Western black-and-
white colobus",colobus polykomos,Primates,Cercopithecidae,6500,,925,32
Long-tailed macaque,macaca fascicularis,Primates,Cercopithecidae,3216.7,,1024.3,32
Rhesus macaque,macaca mulatta,Primates,Cercopithecidae,13885,,768.67,"32, 40"
Talapoin monkey,miopithecus talapoin,Primates,Cercopithecidae,915,,522.5,32
Mandrill,papio sphinx,Primates,Cercopithecidae,14450,,2644.5,32
Greater dwarf lemur,cheirogaleus major,Primates,Cheirogaleidae,230,,42,32
Fork-crowned lemur,phaner furcifer,Primates,Cheirogaleidae,270,,95,32
"Demidoff 's dwarf
bushbaby",galago demidovii,Primates,Galagonidae,60,,36,32
Human,homo sapiens,Primates,Hominidae,"70,000-
78,300",600,5897.5,"33, 34, 41, 42"
Calabar potto,"arctocebus
calabarensis",Primates,Loridae,176.7,,103,32
Potto,perodicticus potto,Primates,Loridae,1160,,200,32
"Northern jumping
mouse",zapus hudsonius,Rodentia,Dipodidae,20,,23,43
Spiny mouse,acomys spinosissimus,Rodentia,Muridae,17.2,25.99,20.53,44
"Cape short-eared
gerbil","desmodillus
auricularis",Rodentia,Muridae,86.2,37.51,,44
"Griselda's striped
grass mouse",lemniscomys griselda,Rodentia,Muridae,54.9,24.38,29.99,44
Gerbil,"meriones
unguiculatus",Rodentia,Muridae,70.1,30.5,34.3,"33, 36"
Syrian hamster,mesocricetus auratus,Rodentia,Muridae,122.6,41,56.7,"33, 35, 36, 46,
47"
Harvest mouse,micromys minutus,Rodentia,Muridae,8.9,,14.2,33
Pygmy mouse,mus minutoides,Rodentia,Muridae,4.7,17.45,13.96,44
,,,,,,,
Caviedes-Vidal et al.,table 2,,,6,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Mouse,mus musculus,Rodentia,Muridae,38.2,45,43,"33, 34, 48; R."
,,,,,,,Ferraris and
,,,,,,,"J.M. Diamond,"
,,,,,,,personal
,,,,,,,communication
"Long-tailed deer
mouse",peromyscus leucopus,Rodentia,Muridae,25,,39,43
Woodland deer mouse,"peromyscus
maniculatus",Rodentia,Muridae,20,,24,43
Laboratory rat,rattus norvegicus,Rodentia,Muridae,305,95.1,119.2,"4, 33-35, 49-53"
House rat,rattus rattus,Rodentia,Muridae,105.2,95.64,,44
"Four-striped grass
mouse",rhabdomys pumilio,Rodentia,Muridae,46.2,29.35,32.29,44
Acacia rat,thallomys paedulcus,Rodentia,Muridae,55.2,31.3,36,44
Nutria,myocastor coypus,Rodentia,Myocastoridae,5358.4,,1040.1,"33, 36, 54"
Woodland dormouse,graphiurus murinus,Rodentia,Myoxidae,20.9,17.01,17.01,44
Pouched mouse,"saccostomus
campestris",Rodentia,Nesomyidae,82.9,38.93,51.78,44
Fat mouse,steatomys pratensis,Rodentia,Nesomyidae,31.5,25.69,23.12,44
Ebien squirrel,epixerus ebii,Rodentia,Sciuridae,560,,208.5,32
Red squirrel,sciurus vulgaris,Rodentia,Sciuridae,600,174,306.5,"32, 34"
"Belding’s ground
squirrel",spermophilus beldingi,Rodentia,Sciuridae,318,80,,"W.H.K.,
unpublished
data"
,,FLYING EUTHERIAN MAMMALS (BATS),,,,,
"Mariana sheath-tailed
bat","emballonura
semicaudata",Chiroptera,Emballonuridae,7,9,,55
Proboscis bat,rhynchonycteris naso,Chiroptera,Emballonuridae,4,12,,55
"Black-bearded tomb
bat","taphozous
melanopogon",Chiroptera,Emballonuridae,22.7,53.6,,55
Yellow-winged bat,lavia frons,Chiroptera,Megadermatidae,23.4,16.1,,55
,,,,,,,
Caviedes-Vidal et al.,table 2,,,7,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2
cm",Source
"Greater false vampire
bat",megaderma lyra,Chiroptera,Megadermatidae,35.3,15.7,,55
"Lesser false vampire
bat",megaderma spasma,Chiroptera,Megadermatidae,23.8,11.5,,55
Hairless bat,cheiromeles torquatus,Chiroptera,Molossidae,168.5,34,,55
Pallas's mastiff bat,molossus major,Chiroptera,Molossidae,10.7,12.3,,56
"Egyptian free-tailed
bat",tadarida aegyptiaca,Chiroptera,Molossidae,17.7,16.6,,55
"Brazilian free-tailed
bat",tadarida brasiliensis,Chiroptera,Molossidae,11.2,15.95,,57
Ghost-faced bat,"mormoops
megalophylla",Chiroptera,Mormoopidae,15.3,,7.15,58
"Parnell's moustached
bat",pteronotus parnellii,Chiroptera,Mormoopidae,20.1,14.7,7.04,"57, 58"
